miRNAname,H9_RPM,FB_RPM,log2FoldChange_miR,Total_TargetSites,Sponging_Coefficient,quartile
hsa-let-7a-5p,516.69,3812.13,2.8832264511204513,1025.5,0.47380117445400827,+ sponged
hsa-let-7c-5p,1.3900000000000001,3200.13,11.168829915121504,1027,0.6415702541292886,+ sponged
hsa-let-7d-5p,3.26,121.93,5.225037359695847,1027,16.40706126687435,+++ sponged
hsa-let-7e-5p,19.71,2393.37,6.923971859121453,1023,0.8478790591277537,+ sponged
hsa-let-7f-5p,39.52,2084.33,5.720856952173572,1027,0.9671116133436919,+ sponged
hsa-let-7g-5p,12.31,1666.69,7.08101121970775,1027,1.2233472304943418,+ sponged
hsa-let-7i-5p,5.6,952.85,7.410678481998162,1022.5,2.1336532943815536,++ sponged
hsa-miR-100-5p,117.64,1375.36,3.5473586985407195,27,0.0361687876758205,- sponged
hsa-miR-101-3p,4893.39,5222.74,0.09397261561358412,392,0.07749999258609765,- sponged
hsa-miR-103a-3p,8794.17,13517.54,0.6202132988773816,1749,0.15677866017441067,- sponged
hsa-miR-105-5p,11.06,179.43,4.019997832753799,1066.5,11.197438185731533,+++ sponged
hsa-miR-106a-5p,1358.13,344.45,-1.9792550976008982,1347.5,1.5828918464917947,+ sponged
hsa-miR-106b-5p,622.88,883.78,0.5047330333820604,1302.5,1.7289899512829705,++ sponged
hsa-miR-107,779.13,2471.36,1.6653692104532283,1749,1.0761454426871024,+ sponged
hsa-miR-10a-5p,22.21,2253.21,6.664628576437375,177.5,0.1560151532464336,- sponged
hsa-miR-10b-5p,118.34,517.69,2.129150650334093,161,0.5062654277313963,+ sponged
hsa-miR-1179,2.79,145.34,5.703022879155095,786,10.612300006750827,+++ sponged
hsa-miR-124-3p,40.61,1929.56,5.570293067939523,668.5,0.678621641787257,+ sponged
hsa-miR-1247-5p,1.8599999999999999,153.94,6.370921720858323,54,0.693196405648267,+ sponged
hsa-miR-1251-5p,19.32,314.28,4.023883466235979,300,1.7985611510791368,++ sponged
hsa-miR-125a-5p,1102.7,5617.48,2.3488827375315036,798,0.23749363856325278,- sponged
hsa-miR-125b-5p,74.37,5250.57,6.141609467366823,803,0.3015996424372857,+ sponged
hsa-miR-126-3p,78.73,44.58,-0.8205168616270048,13.5,0.21896034384883625,- sponged
hsa-miR-126-5p,794.8,341.85,-1.2172284472632167,643.5,1.1322746667839703,+ sponged
hsa-miR-1269a,2.7199999999999998,167.6,5.9452716873363745,838.5,9.846171911695633,+++ sponged
hsa-miR-1269b,3.42,236.42,6.11121195043421,838.5,6.992161440960641,+++ sponged
hsa-miR-127-3p,11.92,396.44,5.055646393988674,36.5,0.1787638358311294,- sponged
hsa-miR-1271-5p,34.21,65.33,0.9333275356332449,530,10.648985332529637,+++ sponged
hsa-miR-128-3p,743.81,1997.87,1.4254566618211133,857.5,0.6255288728079135,+ sponged
hsa-miR-129-2-3p,19.24,133.64,2.7961711835649283,248,3.2443746729461016,++ sponged
hsa-miR-129-5p,44.82,449.38,3.325721363741365,897.5,3.632132739781465,++ sponged
hsa-miR-1296-5p,123.1,330.28,1.4238588485082444,117,0.5161233402443867,+ sponged
hsa-miR-1298-5p,1084.22,1011.48,-0.10018973110969438,96,0.0916161664360357,- sponged
hsa-miR-1307-3p,386.4,145.91,-1.405016331849896,23.5,0.0882944149086059,- sponged
hsa-miR-1307-5p,2248.84,984.16,-1.1922162340338964,6,0.0037117228580266005,- sponged
hsa-miR-130a-3p,3487.92,3448.57,-0.016368699113719097,876,0.2525773121564365,- sponged
hsa-miR-130b-3p,1610.67,2648.52,0.7175254633766013,881,0.4136936835407671,+ sponged
hsa-miR-132-3p,12.54,327.75,4.70798652719444,580.5,3.4117958212113195,++ sponged
hsa-miR-1323,249.17,1.06,-7.876922303714845,973.5,7.780841625704352,+++ sponged
hsa-miR-133a-3p,117.33,20.99,-2.482797870161947,394,5.696934644303066,++ sponged
hsa-miR-135a-5p,93.78,751.21,3.001864083898037,1098.5,2.6000307695949063,++ sponged
hsa-miR-135b-5p,110.55,272.85,1.3034090185564169,1098.5,5.730307772561293,++ sponged
hsa-miR-137,1.62,131.99,6.348291007029524,757.5,11.33897163385974,+++ sponged
hsa-miR-138-5p,184.23,880.68,2.2571098941377734,1126,2.1147327004159977,++ sponged
hsa-miR-140-3p,1259.34,1658.97,0.3976199592070425,532.5,0.36493724107445746,+ sponged
hsa-miR-141-3p,696.01,12.89,-5.754783865489917,1168.5,3.2966567922132883,++ sponged
hsa-miR-143-3p,735.78,111.18,-2.726377174253301,857,2.0237083215264002,++ sponged
hsa-miR-146a-5p,68.29,5.74,-3.5725516918947706,523.5,14.142915034445496,+++ sponged
hsa-miR-146b-5p,135.42,233.51,0.786043509903255,527,2.856910525031849,++ sponged
hsa-miR-148a-3p,50487.05,3084.95,-4.0325943701075095,881.5,0.032908982304188754,- sponged
hsa-miR-148b-3p,1570.59,2460.99,0.6479321789985903,881.5,0.43729753595364595,+ sponged
hsa-miR-149-5p,245.43,1894.39,2.948349858560929,612,0.5720107298744754,+ sponged
hsa-miR-151a-3p,11555.35,9929.81,-0.21872294009255486,315,0.0293225649704261,- sponged
hsa-miR-151a-5p,4530.68,3874.43,-0.22574351852236402,102,0.02427094945812726,- sponged
hsa-miR-151b,164.34,139.71,-0.23424838388505004,102,0.6709422792303897,+ sponged
hsa-miR-152-3p,9.19,38.51,2.067096356507951,881,36.939203354297696,+++ sponged
hsa-miR-153-3p,4.82,1925.32,8.641849388713295,545,0.5647258748070089,+ sponged
hsa-miR-155-5p,138.93,3.47,-5.323278689846589,691,9.70505617977528,+++ sponged
hsa-miR-15a-5p,111.33,521.3,2.2272714530646924,3175,10.037462655896812,+++ sponged
hsa-miR-15b-5p,611.89,653.3,0.0944733180599269,3178,5.0237513733115184,++ sponged
hsa-miR-16-5p,6445.43,11773.93,0.8692474407044845,3159,0.34677398108385804,+ sponged
hsa-miR-17-5p,4474.54,2242.52,-0.9966185234432124,1347.5,0.4012171991913129,+ sponged
hsa-miR-181a-5p,3507.26,77559.51,4.466887399461608,1448.5,0.03573597418523028,- sponged
hsa-miR-181b-5p,956.12,8791.12,3.200783374900762,1438,0.2950578830520229,- sponged
hsa-miR-181c-5p,143.45,3384.18,4.560186432295706,1422.5,0.8064904766089415,+ sponged
hsa-miR-181d-5p,98.85,958.42,3.277345143069343,1438.5,2.721159211932619,++ sponged
hsa-miR-182-5p,23029.32,2028.92,-3.5046879263843724,1151.5,0.09190589602462106,- sponged
hsa-miR-183-5p,3051.22,260.64,-3.5492557912183385,377.5,0.22796857355081437,- sponged
hsa-miR-184,26.18,17.95,-0.5444812532348271,60,2.7192386131883075,++ sponged
hsa-miR-186-5p,8032.33,5333.17,-0.5908252260785436,1359.5,0.20343421495641764,- sponged
hsa-miR-187-3p,319.81,9.98,-5.002031424740413,26.5,0.16070832954304254,- sponged
hsa-miR-18a-5p,979.82,488.72,-1.003508594555302,710.5,0.9676277118771025,+ sponged
hsa-miR-18b-5p,297.98,141.16,-1.0778841670373207,709,3.2290385753973676,++ sponged
hsa-miR-190a-5p,71.87,75.38,0.0687921089430359,626,8.502546689303905,+++ sponged
hsa-miR-191-5p,28249.8,18940.29,-0.5767822332446926,131,0.005552013145132803,- sponged
hsa-miR-1911-5p,22.13,39.71,0.8434989097234568,43.5,1.4068564036222508,+ sponged
hsa-miR-192-5p,1730.27,2108.81,0.2854319359592172,119.5,0.062254498473592636,- sponged
hsa-miR-193b-3p,208.01,68.99,-1.5921937214246158,463,3.3429602888086642,++ sponged
hsa-miR-197-3p,336.66,634.32,0.9139185121714892,772,1.5901460380234402,+ sponged
hsa-miR-199a-3p,50.35,23.45,-1.1024038554914082,686,18.59078590785908,+++ sponged
hsa-miR-199b-3p,50.04,23.45,-1.093493866763081,686,18.669206694788407,+++ sponged
hsa-miR-19a-3p,360.12,321.3,-0.16455674396067013,964,2.829385694578967,++ sponged
hsa-miR-19b-3p,1074.94,904.08,-0.2497337908218649,972.5,0.9828096734747501,+ sponged
hsa-miR-200a-3p,32.11,2.52,-3.6715270262258533,1170.5,67.60034652035807,+++ sponged
hsa-miR-200b-3p,247.3,7.64,-5.016545791241552,1169.5,9.174707774378286,+++ sponged
hsa-miR-200c-3p,712.31,8.27,-6.428474104560401,1178.5,3.2709761580948684,++ sponged
hsa-miR-204-5p,996.43,10153.52,3.349067696096919,718.5,0.12887950170180135,- sponged
hsa-miR-205-5p,2835.71,11.75,-7.9149054327852655,919,0.6454875573317974,+ sponged
hsa-miR-20a-5p,4854.56,2439.29,-0.992879254745586,1347.5,0.36948936432748136,+ sponged
hsa-miR-20b-5p,3241.31,895.17,-1.8563434141751007,1347.5,0.6515201330599931,+ sponged
hsa-miR-21-5p,36917.75,3392.03,-3.4440937941064065,263,0.013048942465079195,- sponged
hsa-miR-210-3p,117.56,298.15,1.3426410726601998,108,0.5195929854946959,+ sponged
hsa-miR-216a-3p,1.08,166.72,7.270252060115039,869.5,10.36352800953516,+++ sponged
hsa-miR-216a-5p,1.16,187.59,7.337314307504719,470.5,4.985430463576159,++ sponged
hsa-miR-216b-5p,1.08,558.23,9.013684536165133,925,3.307646922100445,++ sponged
hsa-miR-217,1,331.17,8.371428177794545,910,5.479122136255532,++ sponged
hsa-miR-218-5p,32.81,481.13,3.8742192599228926,1120.5,4.360431178736817,++ sponged
hsa-miR-219a-2-3p,2.95,56.15,4.25049916303876,614,20.77834179357022,+++ sponged
hsa-miR-219a-5p,1.31,95.24,6.183928903732884,454,9.404453650958054,+++ sponged
hsa-miR-22-3p,11564.4,6050.05,-0.9346714454905963,827.5,0.09395695011765907,- sponged
hsa-miR-221-3p,3075.23,1423.94,-1.1108059580025909,321.5,0.14291524881255877,- sponged
hsa-miR-222-3p,8678.85,1854.8,-2.2262402577095974,323.5,0.06142220407930774,- sponged
hsa-miR-23a-3p,107.19,46.48,-1.2054883459018975,1762.5,22.938764885794235,+++ sponged
hsa-miR-23b-3p,110.78,259.44,1.2277034852924855,1764,9.529468964399545,+++ sponged
hsa-miR-24-3p,88.17,109.92,0.31809414444561135,627,6.33045585339997,+++ sponged
hsa-miR-25-3p,10750.64,10192.55,-0.07690751389212787,717.5,0.06851869271109129,- sponged
hsa-miR-26a-5p,19726.33,27832.68,0.4966572582744092,605.5,0.025463103626421155,- sponged
hsa-miR-26b-5p,1067.38,2923.98,1.4538595590634056,611,0.3061613084262006,+ sponged
hsa-miR-27a-3p,325.9,94.93,-1.7794933638096742,1349.5,6.413516146662548,+++ sponged
hsa-miR-27b-3p,3416.19,7143.26,1.0641944171194173,1349.5,0.25560043373471153,- sponged
hsa-miR-28-3p,11716.52,3495.12,-1.7451302346664705,331,0.04351930495331207,- sponged
hsa-miR-28-5p,590.6,291.13,-1.0205178443173564,661,1.4993251902509839,+ sponged
hsa-miR-296-3p,110.55,24.15,-2.1946039309804526,346.5,5.144766146993319,++ sponged
hsa-miR-29a-3p,255.65,49.7,-2.362852269124657,1350.5,8.845587031275585,+++ sponged
hsa-miR-29c-3p,20.34,87.27,2.1011661179639627,1343,24.96050552922591,+++ sponged
hsa-miR-301a-3p,2641.57,9572.13,1.8574443494479902,880.5,0.14418235260404302,- sponged
hsa-miR-302a-3p,32632.35,25.16,-10.34095524847309,1826,0.1118272642341685,- sponged
hsa-miR-302b-3p,42214.56,51.73,-9.672523770178636,1804.5,0.08538719627391,- sponged
hsa-miR-302c-3p,22395.36,10.8,-11.017952829627495,1820,0.16245532478568395,- sponged
hsa-miR-302d-3p,37920.27,23.83,-10.635974569687434,1818.5,0.09585152895970651,- sponged
hsa-miR-302e,137.91,1.19,-6.856621688230017,1748.5,25.140186915887853,+++ sponged
hsa-miR-30a-5p,7172.57,15335.03,1.0962689409422475,917.5,0.08152801720307808,- sponged
hsa-miR-30b-5p,389.75,1244.62,1.6750844063883488,917.5,1.1227567809002859,+ sponged
hsa-miR-30c-5p,3396.23,4109.03,0.2748636990402353,922.5,0.24582759291483572,- sponged
hsa-miR-30d-5p,5537.25,12236.22,1.1439163866946467,917.5,0.10324376725535306,- sponged
hsa-miR-30e-5p,12233.22,12475.69,0.02831541299651553,917.5,0.07426470856059615,- sponged
hsa-miR-31-5p,1060.91,13.65,-6.280257512166931,489.5,0.911070577724836,+ sponged
hsa-miR-3200-3p,45.99,168.74,1.875409903760297,222.5,2.0723699529641872,++ sponged
