Symbol;H9_RPKM;FB_RPKM
CHMP1B;19,28;18,95
LOC147670;0,07;4,15
LOC441204;0,06;1,9
TCOF1;8,62;3,5
LOC441208;0,11;0,36
SPPL3;10,72;16,19
OPA3;1,37;1,25
OPA1;45,26;30,78
ITGA8;0,02;0,09
ITGA9;1,57;0,56
ITGA1;4,38;0,61
ITGA2;3,05;4,24
ITGA3;1,29;0,7
ITGA4;1,09;0,62
ITGA5;2,79;0,76
ITGA6;39,56;18,51
ITGA7;1,08;2,42
TRHR;0,03;0,33
LOC100132287;0,05;0,12
UFSP2;14,5;13,56
CHST9;4,31;0,64
CHST8;0,05;0,09
CHST1;0,08;1,56
CHST3;1,22;3,09
CHST2;1,92;2,16
CHST5;0,02;0,22
CHST4;2,87;0,01
CHST7;2,23;2,35
CHST6;2,5;0,28
ITGAV;21,43;17,61
PREP;31,4;10,87
ITGAE;3,7;3,43
IGF2R;15,91;10,32
SLC36A4;11,12;15,51
CKS1B;165,52;62,64
SLC36A1;2,5;3,83
C14orf118;11,64;12,57
ARTN;0,08;0,11
ART3;0,28;0,05
ART5;0,95;0,43
MGC57346;4,42;6,37
CADPS2;5,75;2,65
RLF;10,06;13,13
CRTAP;21,8;7,5
ADPGK;15,68;7,82
CPEB4;3,51;11,89
CPEB1;0,99;0,45
CPEB3;0,26;2,57
CPEB2;1,1;5,48
SRBD1;12,99;7,59
ABAT;0,93;30,62
POU5F1B;0,27;0,02
CDH22;0;0,18
PHOX2A;0,04;0
PHOX2B;0;0,11
UPK2;0,03;0,06
CFI;0,04;0,82
ANKFY1;7,62;15,93
CFP;0,07;0,15
REREP3;0,42;0,58
AAAS;8,78;8,44
SIDT2;0,98;2,59
CDH24;0,42;2
LOC283070;0,9;10,39
AAGAB;30,86;23,08
C4orf19;0,36;0,14
SLC7A6OS;12,22;13,4
C4orf14;18,01;7,88
C4orf10;2,2;2,87
EFHA1;34,69;37,05
EFHA2;2,32;8,61
ABCE1;77,29;30,48
MSL3P1;7,81;1,75
C15orf26;0,04;0,19
C15orf27;0,24;0,57
C15orf24;36,52;24,27
C15orf23;31,17;23,73
C15orf28;0,24;0,5
C15orf29;19,76;20,22
ZNF117;7,48;45,61
ZNF114;6,03;2,14
SEZ6L;0,01;11,52
PRKAR2A;11,72;16,53
PRKAR2B;18,41;57,21
MAGT1;22,92;11,1
C20orf54;0,82;0,01
TMEM200B;6,77;5,33
ITGA2B;0,12;0,14
PHACTR4;13,56;13,41
PHACTR1;0,41;3,58
NLGN3;0,63;8,06
PHACTR3;0,03;2,69
PHACTR2;12,08;2,36
VMP1;44,65;21,55
NR1D1;0,09;0,36
NR1D2;10,92;11,42
UFSP1;0,08;0,04
OGFR;1,1;1,62
PTCH2;0,02;0,37
PTCH1;1,03;32,18
TIMM44;6,66;3,84
RAD9B;0,11;0,16
RAD9A;1,09;1,7
ERGIC2;23,37;20,9
ERGIC3;21,06;36,8
ERGIC1;14,98;18,24
MIR3162;0;0
B3GAT3;0,32;0,81
B3GAT2;4,1;6,47
B3GAT1;1,99;7,4
CALM2;406,73;512,21
TTC30A;1,72;4,19
SPG21;36,03;31,25
CALM1;79,32;123,11
GSDMB;3,12;6,52
GSDMD;0,18;0,01
UPK1A;0,05;0
UPK1B;0,09;0
DLGAP2;0,05;0,43
DLGAP3;0,03;0,19
DLGAP1;0,72;1,36
DLGAP4;2,31;8,3
DLGAP5;101,03;38,72
CYP27B1;0,36;0,19
OIP5;23,35;10,91
FAM169A;26,13;15,66
INO80B-WBP1;3,83;8,52
PTPN18;1,73;3,75
LRRFIP2;8,05;10,46
PTPN13;25,76;14,72
PTPN12;69,96;43,54
PTPN11;60,98;39,42
PTPN14;15,07;1,33
LYAR;41;6,51
C2orf81;0,03;0,25
C2orf80;0,04;8,31
C2orf84;0,02;0,66
SNORA84;0,09;0
C2orf89;0,46;0
C2orf88;0,84;1,55
MSMP;3,37;5,54
CDK2;16,6;24,27
HLA-DQB1;1,25;0,14
CDK7;48,6;10,78
HAPLN4;0,4;0,21
ZFP161;7,93;8,41
CAMKK2;5,92;6,66
CAMKK1;0,38;0,73
LOC441046;0,11;0,03
LOC100128640;1,14;1,01
RPL36AL;251,22;89,55
CHMP7;9,19;9,02
CHMP6;0,66;1,26
CHMP5;29,31;31,52
OR52N2;0,19;0
GALNTL4;0,45;0,6
GALNTL6;0,01;0,37
GALNTL1;0,39;4,62
LOC100506462;0,14;0,32
TDH;0,1;0,21
TDG;46,98;27,45
HN1;73,33;110,03
GOLGA8IP;0,11;0,28
KIAA1524;18,47;16,03
LRRC24;0,04;0,08
LRRC23;0,33;2,41
MPDU1;13,49;8,66
LRRC20;2,06;3,68
LRRC29;0,02;0,07
LRRC28;5,15;6,19
GCNT4;23,2;0,34
GCNT7;0,12;0,11
GCNT1;3,32;0,73
GCNT2;11,33;3,26
LPCAT4;1,45;3,16
LPCAT2;1,65;1,12
LPCAT3;12,45;7,5
LPCAT1;26,87;16,38
TAGLN;64,91;3,97
DLEC1;0,05;0,1
ALPP;0;0
PDK1;12,68;10,75
PDK3;7,44;9,28
PDK2;0,38;1,84
EBP;14,83;9,03
PDK4;0,13;0,3
LNPEP;1,54;4,94
SEC61A1;41,95;30,65
SEC61A2;7,82;15,36
ALPL;9,87;1
PECR;5,4;2,75
HAS2-AS1;0,27;0,13
LOC96610;9,28;10,93
INMT-FAM188B;0,6;0,99
DDIT3;7,16;8,94
DDIT4;8,57;12,52
RIIAD1;0;2,1
PPPDE1;64,74;19,65
PPPDE2;8,51;9,99
GOLGA8A;5,75;34,24
GOLGA8B;8,58;32,01
PTPMT1;11,2;7,82
VMO1;0;0,09
ATP5C1;168,01;102,05
MIR639;0;0
MIR635;0,34;1,74
MIR637;0;0,25
MIR636;0;0
MIR631;0,42;0,25
MIR630;0,39;0,61
MIR632;1,65;2,63
NPC2;73,15;25,84
NPC1;9,72;5,38
C3orf58;6,38;6,58
RAB3GAP2;18,56;14,91
BHLHA15;0;0
RAB3GAP1;19,77;16,01
C3orf52;8,34;0,2
C3orf55;0,31;0
C3orf54;0;0,03
C3orf57;3,29;0,14
DAG1;13,27;9,19
ETHE1;1,76;3,91
SGSM3;1,04;2,34
KDM1A;111,03;78,6
KDM1B;2,73;10,06
MIR2355;0;0
HIST1H3H;0,01;0,07
FCER1G;0,57;0,05
BTG2;5,41;8,81
BTG1;7,1;16,42
SRD5A3;8,87;3,03
SRD5A1;9,06;11,51
GGA1;1,03;2,1
GGA3;5,42;4,61
GGA2;16,92;12,02
FHOD1;1,19;0,51
FHOD3;2,11;14,15
C4orf6;0,01;0,03
GJC2;0;0,01
C4orf3;16,46;27,37
GJC1;28,56;15,8
PSMB7;86,52;70,92
PSMB6;42,43;21,29
PSMB5;50,46;24,28
C14orf119;31,05;9,29
PSMB3;56,5;29,68
PSMB2;23,29;19,16
PSMB1;174,04;74,62
LMBR1L;2,25;7,97
PNMA1;12,06;51,79
TDGF1;309,86;0,03
TDGF3;36,04;0,03
LOH3CR2A;0,79;0,26
LOC285103;0,32;1,13
PNMA2;2,71;59,46
LTN1;12,88;14,45
TRIML2;40,02;0
C9orf142;0,27;0,72
NACC2;0,33;0,11
VPS13D;5,24;6,06
NACC1;4,8;1,59
VPS13A;17,5;10,2
SH3KBP1;3,84;4,15
VPS13C;4,73;15,31
VPS13B;3,63;6,66
BEX5;3,13;4,25
BEX4;36,65;127,28
BEX2;26,81;60,22
BEX1;45,44;102,59
TMEM160;0,24;0,18
TMEM163;0,47;1,7
TMEM165;38,18;18,23
TMEM164;5,46;13,22
TMEM169;0,46;11,59
TMEM168;8,07;9,47
EVI2B;0,05;0,07
FOXN2;6,49;6,7
FOXN3;31,61;11,89
NICN1;2,04;5,56
COL14A1;5,85;0,28
SNAP91;0,14;24,15
C11orf35;0;0,15
C11orf31;37,67;18,99
C11orf30;7,31;11,15
LOC284276;0,01;0,05
MACROD2;0,11;5,68
MACROD1;0,52;1,66
sep-15;78,31;35,96
LOC255167;0,17;0,13
KRR1;31,17;16,69
FAM64A;10,83;10,56
LOC100130015;0,13;0,23
FAM92A1;21,15;33,18
C8orf48;0,62;1,88
C8orf47;1,79;0,52
C8orf46;0,04;0,65
C8orf45;2,03;2,38
C8orf44;2,1;4,31
C8orf42;27,99;16,86
C8orf41;12,28;4,97
C8orf40;22,77;11,94
TMSL3;0,49;0,18
MB;0,07;0
SLC18A2;3,77;3,31
SLC18A1;0;0,17
RALBP1;27,04;10,96
ZNF830;8,64;7,89
ZNF837;0,03;0,07
ZNF836;1,81;2,79
ZNF839;2,18;2,53
PHAX;19,9;14,46
RAB33A;0,53;10,12
SLC17A9;0,56;0
RAB33B;5,46;4,29
SLC17A5;6,49;3,22
SLC17A6;0,05;4,32
SLC17A7;0,27;0,29
C16orf58;0,85;3,01
C16orf59;0,82;0,62
C16orf52;4,56;8,72
C16orf53;5,92;6,3
C16orf57;6,18;5,25
C16orf54;0,67;0
C16orf55;0,59;1,74
ITCH;14,39;15,17
CHMP4A;13,38;15,5
CHMP4B;27,67;28,24
CHMP4C;3,2;0,14
