ID	H9_RPM	FB_RPM	pri_miR_ID	log2FoldChange_miR	H9_nascent_mean	FB_nascent_mean	log2FoldChange_primiR
hsa-miR-200b-3p	246.3	6.64	hsa-miR-200b	-5.016545791241552	NA	NA	NA
hsa-miR-200a-3p	31.11	1.52	hsa-miR-200a	-3.6715270262258533	NA	NA	NA
hsa-miR-361-5p	305.95	424.28	hsa-miR-361	0.47040933988647504	52.437677760622684	390.25036903207064	2.895724295133962
hsa-miR-1271-5p	33.21	64.33	hsa-miR-1271	0.9333275356332449	234.1081183964207	1089.9904350351503	2.219068604834877
hsa-miR-99a-5p	1.72	1485.87	hsa-miR-99a	9.094456148395212	92.07617466881993	351.71101071238667	1.9334906982288829
hsa-miR-141-3p	695.01	11.89	hsa-miR-141	-5.754783865489917	232.8671640454998	204.7600240959563	-0.18557314223711469
hsa-miR-124-3p	39.61	1928.56	hsa-miR-124	5.570293067939523	130.47371722609626	9948.719821128565	6.252679771802853
hsa-miR-1260a	537.05	381.33	hsa-miR-1260a	-0.4929218385378868	52.437677760622684	83.11033288813617	0.664424058398388
hsa-miR-365a-3p	58.09	16	hsa-miR-365a	-1.797379252549124	182.91139498671896	92.74517246805716	-0.9798008604292753
hsa-miR-365b-3p	58.09	16	hsa-miR-365b	-1.797379252549124	NA	NA	NA
hsa-miR-1260b	670.84	415.43	hsa-miR-1260b	-0.6900436878274089	377.38101647494244	723.8665309981527	0.9397018603668167
hsa-miR-125b-5p	73.37	5249.57	hsa-miR-125b	6.141609467366823	340.224428268587	5298.301866905173	3.9609714065599637
hsa-miR-200c-3p	711.31	7.27	hsa-miR-200c	-6.428474104560401	78.03603946547358	73.47549330821518	-0.08687741919102288
hsa-miR-141-5p	139.72	0.63	hsa-miR-141	-6.431811613240884	232.8671640454998	204.7600240959563	-0.18557314223711469
hsa-miR-505-3p	132.31	266.47	hsa-miR-505	1.0045920793128233	116.4335820227499	870.817517614583	2.902863206030676
hsa-miR-34c-5p	387.58	172.29	hsa-miR-34c	-1.1650232444290742	973.5890617920384	83.11033288813617	-3.5502131998379047
hsa-miR-27a-3p	324.9	93.93	hsa-miR-27a	-1.7794933638096742	NA	NA	NA
hsa-miR-153-3p	3.82	1924.32	hsa-miR-153	8.641849388713295	170.11221413429348	1309.2420845462586	2.9441732465335946
hsa-miR-1179	1.79	144.34	hsa-miR-1179	5.703022879155095	65.23685861304813	2122.2505646813156	5.023763875846764
hsa-miR-23a-3p	106.19	45.48	hsa-miR-23a	-1.2054883459018975	NA	NA	NA
hsa-miR-488-3p	4.29	222.45	hsa-miR-488	5.400540512168346	65.23685861304813	102.38001204797816	0.6501748632833156
hsa-miR-133a-3p	116.33	19.99	hsa-miR-133a	-2.482797870161947	271.2647066027762	2152.329913834616	2.988125973863518
hsa-miR-205-5p	2834.71	10.75	hsa-miR-205	-7.9149054327852655	1516.1184749975905	83.11033288813617	-4.189210830503006
hsa-miR-193b-3p	207.01	67.99	hsa-miR-193b	-1.5921937214246158	78.03603946547358	137.31614703650936	0.8152888179488067
hsa-miR-34a-5p	236.25	155.53	hsa-miR-34a	-0.5999689016320544	507.8547337010387	189.0935682672671	-1.425315595823934
hsa-miR-7977	115.16	54.46	hsa-miR-7977	-1.066593836956272	377.38101647494244	326.40971530377647	-0.20933785386385476
hsa-miR-138-5p	183.23	879.68	hsa-miR-138	2.2571098941377734	117.6745363736708	268.6006778242505	1.1906607765079775
hsa-miR-561-5p	2156.85	146.68	hsa-miR-561	-3.869048218124158	1440.5643442339588	546.836195228422	-1.3974534577676523
hsa-miR-137	0.62	130.99	hsa-miR-137	6.348291007029524	52.437677760622684	83.11033288813617	0.664424058398388
hsa-miR-24-3p	87.17	108.92	hsa-miR-24	0.31809414444561135	52.437677760622684	83.11033288813617	0.664424058398388
hsa-miR-146a-5p	67.29	4.74	hsa-miR-146a	-3.5725516918947706	221.30893754399528	73.47549330821518	-1.590726670287312
hsa-miR-518f-3p	70.56	0	hsa-miR-518f	-6.161081482277184	65.23685861304813	73.47549330821518	0.17157582722006215
hsa-miR-218-5p	31.81	480.13	hsa-miR-218	3.8742192599228926	52.437677760622684	3394.1281213214274	6.016293418227625
hsa-miR-7-5p	43.43	753.62	hsa-miR-7	4.086144290526126	2637.944252271834	5309.190268989171	1.0090777688028474
hsa-miR-126-3p	77.73	43.58	hsa-miR-126	-0.8205168616270048	NA	NA	NA
hsa-miR-152-3p	8.19	37.51	hsa-miR-152	2.067096356507951	NA	NA	NA
hsa-miR-126-5p	793.8	340.85	hsa-miR-126	-1.2172284472632167	NA	NA	NA
hsa-miR-361-3p	76.49	105.44	hsa-miR-361	0.45795836618306385	52.437677760622684	390.25036903207064	2.895724295133962
hsa-miR-1303	102.3	1.96	hsa-miR-1303	-5.125099268123472	182.91139498671896	83.11033288813617	-1.1380451949635824
hsa-miR-371a-5p	311.49	5.44	hsa-miR-371a	-5.600605524229573	NA	NA	NA
hsa-miR-28-5p	589.6	290.13	hsa-miR-28	-1.0205178443173564	52.437677760622684	73.47549330821518	0.4866593438294557
hsa-miR-9-3p	9.75	894.99	hsa-miR-9	6.381074065758501	379.86292517678424	31278.147337462764	6.363532340382305
hsa-miR-190a-5p	70.87	74.38	hsa-miR-190a	0.0687921089430359	NA	NA	NA
hsa-miR-367-3p	2469.35	1.9	hsa-miR-367	-9.734446842220638	38255.42233633816	252.9342219955613	-7.240758193330642
hsa-miR-135a-5p	92.78	750.21	hsa-miR-135a	3.001864083898037	493.8145984976924	2922.020981905299	2.564925145416417
hsa-miR-181c-5p	142.45	3383.18	hsa-miR-181c	4.560186432295706	52.437677760622684	243.2993824156403	2.2140569568600243
hsa-miR-129-5p	43.82	448.38	hsa-miR-129	3.325721363741365	52.437677760622684	73.47549330821518	0.4866593438294557
hsa-miR-15b-5p	610.89	652.3	hsa-miR-15b	0.0944733180599269	1931.507396686593	1021.3717275621661	-0.9192191726751097
hsa-miR-335-5p	175.35	1146.34	hsa-miR-335	2.7017794986438965	259.7064801012716	2554.6435153642233	3.298168068897583
hsa-miR-411-5p	2.26	162.74	hsa-miR-411	5.650391025764219	NA	NA	NA
