Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
CDR1as	CDR1as	circular RNA CDR1as	0	47	34	13	0	83	0	76	7	9	mmu-miR-7a-5p	-92.97	-92.97	> 0.99	
Slc5a3	ENSMUST00000113975.2	solute carrier family 5 (inositol transporters), member 3 	2953	1	0	1	0	3	0	3	0	4	mmu-miR-7b-5p	-2.18	-2.19	0.71	2007, 2009, 2011
Rgs8	ENSMUST00000041776.6	regulator of G-protein signaling 8 	5	1	0	1	0	2	1	0	1	6	mmu-miR-7a-5p	-2.00	-2.00	0.53	2009, 2011
Gm7120	ENSMUST00000177361.1	predicted gene 7120 	7	1	1	0	0	3	0	2	1	1	mmu-miR-7a-5p	-1.67	-2.07	< 0.1	
Pole4	ENSMUST00000095786.5	polymerase (DNA-directed), epsilon 4 (p12 subunit) 	3377	2	2	0	0	0	0	0	0	2	mmu-miR-7a-5p	-1.23	-1.26	0.95	2005, 2007, 2009, 2011
Chsy3	ENSMUST00000080721.4	chondroitin sulfate synthase 3 	54	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-1.17	-1.20	0.80	2007, 2009, 2011
Rnf141	ENSMUST00000177236.2	ring finger protein 141 	3667	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-1.11	-1.11	0.75	2005, 2007, 2009, 2011
Sp1	ENSMUST00000001326.6	trans-acting transcription factor 1 	1975	1	1	0	0	1	0	1	0	4	mmu-miR-7a-5p	-0.91	-0.96	0.51	2005, 2007, 2009, 2011
Wasf3	ENSMUST00000016143.7	WAS protein family, member 3 	168	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.90	-1.04	0.39	2005, 2007, 2009, 2011
Ddit4	ENSMUST00000020308.3	DNA-damage-inducible transcript 4 	591	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.88	-0.91	0.14	2005, 2007, 2009, 2011
Crk	ENSMUST00000017920.8	v-crk sarcoma virus CT10 oncogene homolog (avian) 	2790	2	0	1	1	1	0	1	0	1	mmu-miR-7a-5p	-0.88	-1.38	0.72	2005, 2007, 2009, 2011
Igsf3	ENSMUST00000043983.5	immunoglobulin superfamily, member 3 	93	1	0	0	1	1	0	1	0	4	mmu-miR-7a-5p	-0.86	-0.93	< 0.1	2005, 2007, 2009, 2011
Mknk2	ENSMUST00000003433.6	MAP kinase-interacting serine/threonine kinase 2 	387	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.82	-0.89	0.20	2005, 2007, 2009, 2011
Pde4d	ENSMUST00000120664.2	phosphodiesterase 4D, cAMP specific 	1752	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.78	-0.79	0.72	2005, 2007, 2011
Plag1	ENSMUST00000003369.4	pleiomorphic adenoma gene 1 	77	1	0	1	0	1	0	0	1	1	mmu-miR-7b-5p	-0.75	-0.81	0.37	2005, 2007, 2011
Trmt13	ENSMUST00000041524.5	tRNA methyltransferase 13 	181	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.75	-0.83	0.76	2007, 2009, 2011
Ksr1	ENSMUST00000018478.5	kinase suppressor of ras 1 	497	1	1	0	0	2	0	2	0	0	mmu-miR-7a-5p	-0.71	-0.79	0.83	2007, 2009, 2011
Klf4	ENSMUST00000107619.2	Kruppel-like factor 4 (gut) 	7	2	0	2	0	0	0	0	0	0	mmu-miR-7b-5p	-0.68	-0.68	0.92	2005, 2007, 2009, 2011
Snca	ENSMUST00000163779.2	synuclein, alpha 	186	1	1	0	0	1	0	0	1	0	mmu-miR-7a-5p	-0.68	-0.68	0.50	2005, 2007, 2009, 2011
