Chromosome,Start,End,Strand,H9_JReads,geneName,H9_RPKM,log2FoldChange_mRNA,log2FoldChange_circ,Total_Sites_Per_circ,Effective_sites,quartile
chr1,1192371,1192690,-,1,UBE2J2,5.23,-0.04767356155263148,2.584962500721156,1,1,- sites
chr1,1599765,1603068,-,1,hsa_circ_002136,4.95,2.085575731706074,1,4,4,+ sites
chr1,1599765,1603068,-,1,SLC35E2B,4.95,2.085575731706074,1,1,1,- sites
chr1,1721833,1724750,-,1,GNB1,96.3,0.6052929614661511,1.584962500721156,7,7,++ sites
chr1,1735857,1747301,-,1,GNB1,96.3,0.6052929614661511,1,3,3,- sites
chr1,1735857,1749314,-,1,GNB1,96.3,0.6052929614661511,2.584962500721156,3,3,- sites
chr1,1735857,1756938,-,1,GNB1,96.3,0.6052929614661511,2,4,4,+ sites
chr1,1747194,1756938,-,1,GNB1,96.3,0.6052929614661511,3.321928094887362,4,4,+ sites
chr1,2087433,2106752,+,1,PRKCZ,2.84,0.33406865775957445,1,2,2,- sites
chr1,6291961,6293703,-,3,ICMT,31.03,-1.5840329291420314,0,6,18,+++ sites
chr1,6880240,6885270,+,3,CAMTA1,4.37,1.4232673849216497,1,5,15,+++ sites
chr1,8482786,8674745,-,1,RERE,7.68,0.6818240399737453,2,12,12,++ sites
chr1,8525984,8674745,-,2,RERE,7.68,0.6818240399737453,2.321928094887362,12,24,+++ sites
chr1,8525984,8716500,-,1,RERE,7.68,0.6818240399737453,1,12,12,++ sites
chr1,8555122,8568734,-,1,RERE,7.68,0.6818240399737453,2.807354922057604,1,1,- sites
chr1,8555122,8601377,-,2,RERE,7.68,0.6818240399737453,1.8073549220576042,6,12,++ sites
chr1,8555122,8617582,-,3,RERE,7.68,0.6818240399737453,2.736965594166206,12,36,+++ sites
chr1,8555122,8674745,-,8,RERE,7.68,0.6818240399737453,2.2094533656289497,12,96,+++ sites
chr1,8555122,8684439,-,1,RERE,7.68,0.6818240399737453,1.584962500721156,12,12,++ sites
chr1,8568685,8617582,-,1,RERE,7.68,0.6818240399737453,3,11,11,++ sites
chr1,8568685,8674745,-,1,RERE,7.68,0.6818240399737453,2.584962500721156,11,11,++ sites
chr1,8601272,8617582,-,14,RERE,7.68,0.6818240399737453,2.2801079191927354,11,154,+++ sites
chr1,8601272,8674745,-,12,RERE,7.68,0.6818240399737453,2.523561956057013,11,132,+++ sites
chr1,8616533,8617582,-,1,RERE,7.68,0.6818240399737453,1,6,6,+ sites
chr1,8616533,8674745,-,2,RERE,7.68,0.6818240399737453,0,6,12,++ sites
chr1,9415801,9416644,+,1,SPSB1,0.18,0.8300749985576877,1,1,1,- sites
chr1,9809518,9811739,-,1,CLSTN1,9.4,1.1630875713887587,1,10,10,++ sites
chr1,10155518,10165802,+,1,UBE4B,20.75,-0.7709681076780639,2,2,2,- sites
chr1,10155518,10182134,+,1,UBE4B,20.75,-0.7709681076780639,1,10,10,++ sites
chr1,10177516,10179671,+,1,UBE4B,20.75,-0.7709681076780639,1,8,8,++ sites
chr1,10204997,10211619,+,1,UBE4B,20.75,-0.7709681076780639,1,7,7,++ sites
chr1,10209241,10221344,+,1,UBE4B,20.75,-0.7709681076780639,1,1,1,- sites
chr1,10292307,10332364,+,1,KIF1B,13.1,2.020231416065694,1,10,10,++ sites
chr1,10292307,10338186,+,1,KIF1B,13.1,2.020231416065694,1,16,16,+++ sites
chr1,10292307,10342591,+,1,KIF1B,13.1,2.020231416065694,1,16,16,+++ sites
chr1,10292307,10357304,+,1,KIF1B,13.1,2.020231416065694,1,17,17,+++ sites
chr1,10292307,10412794,+,1,KIF1B,13.1,2.020231416065694,1,20,20,+++ sites
