miRNA,transcript,start,type,log_kd,note,p3.score
hsa-let-7c-5p,hsa_circ_0000892|chr19:11941431-12014514+|NM_152357|ZNF440,12323,7mer-m8,-4739,TDMD?,6
hsa-let-7c-5p,hsa_circ_0000892|chr19:11941431-12014514+|NM_152357|ZNF440,45218,7mer-m8,-4739,TDMD?,6
hsa-let-7c-5p,hsa_circ_0001105|chr2:231155174-231253348+|NM_007237|SP140,75441,7mer-m8,-4849,TDMD,8
hsa-let-7c-5p,hsa_circ_0001106|chr2:231158985-231256944+|NM_007237|SP140,75193,7mer-m8,-4849,TDMD,8
hsa-let-7c-5p,hsa_circ_0001604|chr6:42641528-42652609+|NM_015255|UBR2,287,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0002937|chr2:108477221-109370019+|NM_182588|RGPD4,105388,7mer-a1,-3636,TDMD,7
hsa-let-7c-5p,hsa_circ_0002960|chr17:44127898-45158298-|NM_030753|WNT3,487063,7mer-a1,-5424,TDMD,6
hsa-let-7c-5p,hsa_circ_0002960|chr17:44127898-45158298-|NM_030753|WNT3,704917,7mer-a1,-5424,TDMD,6
hsa-let-7c-5p,hsa_circ_0003072|chr2:111281072-113138540-|NM_001164463|RGPD8,977519,7mer-a1,-5253,TDMD?,6
hsa-let-7c-5p,hsa_circ_0003072|chr2:111281072-113138540-|NM_001164463|RGPD8,1549793,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0003425|chr12:112888121-112893867+|NM_002834|PTPN11,183,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0003812|chr11:65198239-65205128+|None|None,3376,7mer-a1,-4680,TDMD,6
hsa-let-7c-5p,hsa_circ_0004186|chr12:112884079-112894702+|NM_002834|PTPN11,306,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0004360|chr2:111304130-113163961-|NM_001037866|RGPD6,1013349,7mer-a1,-5253,TDMD?,6
hsa-let-7c-5p,hsa_circ_0004360|chr2:111304130-113163961-|NM_001037866|RGPD6,1585623,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0004451|chr10:126631025-126650977+|NM_017580|ZRANB1,2711,7mer-m8,-5025,TDMD,6
hsa-let-7c-5p,hsa_circ_0004848|chr2:111303207-113157209-|NM_022662|ANAPC1,897805,7mer-a1,-5253,TDMD?,6
hsa-let-7c-5p,hsa_circ_0004848|chr2:111303207-113157209-|NM_022662|ANAPC1,1470079,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0005234|chr12:27274878-27788048+|NM_177444|PPFIBP1,323344,7mer-a1,-3767,TDMD?,6
hsa-let-7c-5p,hsa_circ_0005639|chr17:44159806-45158298-|NM_030753|WNT3,487063,7mer-a1,-5424,TDMD,6
hsa-let-7c-5p,hsa_circ_0005639|chr17:44159806-45158298-|NM_030753|WNT3,704917,7mer-a1,-5424,TDMD,6
hsa-let-7c-5p,hsa_circ_0007133|chr2:111309387-113158694-|NM_022662|ANAPC1,899290,7mer-a1,-5253,TDMD?,6
hsa-let-7c-5p,hsa_circ_0007133|chr2:111309387-113158694-|NM_022662|ANAPC1,1471564,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0007373|chr2:111302645-113157771-|NM_001037866|RGPD6,1007159,7mer-a1,-5253,TDMD?,6
hsa-let-7c-5p,hsa_circ_0007373|chr2:111302645-113157771-|NM_001037866|RGPD6,1579433,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0007702|chr2:108492722-109389502+|NM_006267|RANBP2,116334,7mer-a1,-3636,TDMD,7
hsa-let-7c-5p,hsa_circ_0008570|chr2:111283980-113135630-|NM_022662|ANAPC1,876226,7mer-a1,-5253,TDMD?,6
hsa-let-7c-5p,hsa_circ_0008570|chr2:111283980-113135630-|NM_022662|ANAPC1,1448500,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0009016|chr11:85195178-86757912+|NM_007173|PRSS23,254856,7mer-m8,-4780,TDMD,7
hsa-let-7c-5p,hsa_circ_0009016|chr11:85195178-86757912+|NM_007173|PRSS23,912476,7mer-a1,-4561,TDMD,6
hsa-let-7c-5p,hsa_circ_0010148|chr1:16722175-16735200-|NM_198546|SPATA21,2014,8mer,-5951,TDMD,7
hsa-let-7c-5p,hsa_circ_0025795|chr12:31535156-31586182-|NM_144973|DENND5B,2705,7mer-m8,-5415,TDMD,6
hsa-let-7c-5p,hsa_circ_0028417|chr12:112884079-112888316+|NM_002834|PTPN11,306,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0028418|chr12:112884079-112892484+|NM_002834|PTPN11,306,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0028419|chr12:112884079-112915819+|NM_002834|PTPN11,306,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0028420|chr12:112888121-112888316+|NM_002834|PTPN11,183,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0028421|chr12:112888121-112892484+|NM_002834|PTPN11,183,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0028422|chr12:112888121-112910844+|NM_002834|PTPN11,183,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0028423|chr12:112888121-112915819+|NM_002834|PTPN11,183,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0028424|chr12:112888121-112920009+|NM_002834|PTPN11,183,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0028425|chr12:112888121-112926979+|NM_002834|PTPN11,183,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0028426|chr12:112888121-112947717+|NM_002834|PTPN11,183,7mer-m8,-4862,TDMD,6
hsa-let-7c-5p,hsa_circ_0032892|chr14:90429451-90437615+|NM_018319|TDP1,93,7mer-m8,-5942,TDMD,6
hsa-let-7c-5p,hsa_circ_0032893|chr14:90429451-90442159+|NM_018319|TDP1,93,7mer-m8,-5942,TDMD,6
hsa-let-7c-5p,hsa_circ_0034092|chr15:23043278-23060905-|NM_144599|NIPA1,4882,7mer-a1,-5477,TDMD?,6
hsa-let-7c-5p,hsa_circ_0046641|chr17_ctg5_hap1:1433996-1491846-|NM_001113738|ARL17A,16659,7mer-a1,-5424,TDMD,6
hsa-let-7c-5p,hsa_circ_0046642|chr17_ctg5_hap1:1438689-1505081-|NM_001113738|ARL17A,16770,7mer-a1,-5424,TDMD,6
hsa-let-7c-5p,hsa_circ_0055550|chr2:87367949-88025727+|NR_024204|LINC00152,424122,7mer-a1,-5253,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076367|chr6:42579908-42647570+|NM_015255|UBR2,3509,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076368|chr6:42579908-42661243+|NM_015255|UBR2,3509,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076370|chr6:42582808-42643929+|NM_015255|UBR2,3388,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076389|chr6:42619760-42657408+|NM_015255|UBR2,1808,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076395|chr6:42625761-42657408+|NM_015255|UBR2,1501,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076399|chr6:42630995-42646407+|NM_015255|UBR2,837,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076401|chr6:42641528-42644611+|NM_015255|UBR2,287,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076402|chr6:42641528-42647570+|NM_015255|UBR2,287,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076403|chr6:42641863-42643929+|NM_015255|UBR2,190,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076404|chr6:42643793-42643929+|NM_015255|UBR2,122,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076405|chr6:42643793-42647570+|NM_015255|UBR2,122,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0076867|chr6:56506744-56600087-|NM_015548|DST,65975,7mer-a1,-4567,TDMD?,7
hsa-let-7c-5p,hsa_circ_0076868|chr6:56515929-56600087-|None|None,65975,7mer-a1,-4567,TDMD?,7
hsa-let-7c-5p,hsa_circ_0078641|chr6:166361710-166401527-|NR_026860|LINC00473,5933,7mer-m8,-5415,TDMD,6
hsa-let-7c-5p,hsa_circ_0081900|chr7:107236311-107263762+|NM_001008405|BCAP29,1321,7mer-a1,-5180,TDMD,7
hsa-let-7c-5p,hsa_circ_0081901|chr7:107253776-107263762+|NM_001008405|BCAP29,1076,7mer-a1,-5180,TDMD,7
hsa-let-7c-5p,hsa_circ_0086197|chr9:473193-713464+|NM_153186|KANK1,21253,7mer-m8,-4329,TDMD,7
hsa-let-7c-5p,hsa_circ_0086198|chr9:473193-732617+|NM_153186|KANK1,21253,7mer-m8,-4329,TDMD,7
