Chromosome,Start,End,Strand,H9_JReads,FB_JReads,geneName,H9_RPKM,FB_RPKM,log2FoldChange_mRNA,log2FoldChange_circ,Total_Sites_Per_circ,Effective_sites,quartile
chr1,1192371,1192690,-,1,6,UBE2J2,5.23,5.06,-0.04767356155263148,2.584962500721156,1,3.5,- sites
chr1,1599765,1603068,-,1,2,hsa_circ_002136,4.95,21.01,2.085575731706074,1,4,6,+ sites
chr1,1599765,1603068,-,1,2,SLC35E2B,4.95,21.01,2.085575731706074,1,1,1.5,- sites
chr1,1721833,1724750,-,1,3,GNB1,96.3,146.5,0.6052929614661511,1.584962500721156,7,14,++ sites
chr1,1735857,1747301,-,1,2,GNB1,96.3,146.5,0.6052929614661511,1,3,4.5,- sites
chr1,1735857,1749314,-,1,6,GNB1,96.3,146.5,0.6052929614661511,2.584962500721156,3,10.5,+ sites
chr1,1735857,1756938,-,1,4,GNB1,96.3,146.5,0.6052929614661511,2,4,10,+ sites
chr1,1747194,1756938,-,1,10,GNB1,96.3,146.5,0.6052929614661511,3.321928094887362,4,22,++ sites
chr1,2087433,2106752,+,1,2,PRKCZ,2.84,3.58,0.33406865775957445,1,2,3,- sites
chr1,6291961,6293703,-,3,3,ICMT,31.03,10.35,-1.5840329291420314,0,6,18,++ sites
chr1,6880240,6885270,+,3,6,CAMTA1,4.37,11.72,1.4232673849216497,1,5,22.5,++ sites
chr1,8482786,8674745,-,1,4,RERE,7.68,12.32,0.6818240399737453,2,12,30,+++ sites
chr1,8525984,8674745,-,2,10,RERE,7.68,12.32,0.6818240399737453,2.321928094887362,12,72,+++ sites
chr1,8525984,8716500,-,1,2,RERE,7.68,12.32,0.6818240399737453,1,12,18,++ sites
chr1,8555122,8568734,-,1,7,RERE,7.68,12.32,0.6818240399737453,2.807354922057604,1,4,- sites
chr1,8555122,8601377,-,2,7,RERE,7.68,12.32,0.6818240399737453,1.8073549220576042,6,27,+++ sites
chr1,8555122,8617582,-,3,20,RERE,7.68,12.32,0.6818240399737453,2.736965594166206,12,138,+++ sites
chr1,8555122,8674745,-,8,37,RERE,7.68,12.32,0.6818240399737453,2.2094533656289497,12,270,+++ sites
chr1,8555122,8684439,-,1,3,RERE,7.68,12.32,0.6818240399737453,1.584962500721156,12,24,++ sites
chr1,8568685,8617582,-,1,8,RERE,7.68,12.32,0.6818240399737453,3,11,49.5,+++ sites
chr1,8568685,8674745,-,1,6,RERE,7.68,12.32,0.6818240399737453,2.584962500721156,11,38.5,+++ sites
chr1,8601272,8617582,-,14,68,RERE,7.68,12.32,0.6818240399737453,2.2801079191927354,11,451,+++ sites
