Chromosome;Start;End;Strand;Number of included exons;Exon sizes;Exon offsets (0 base);Junction reads;Gene symbol;Transcript id;Flanking introns
chr17;20107645;20109225;+;1;1580;0;67;SPECC1;NM_001243439;chr17:20013875-20107645|chr17:20109225-20130725
chr5;74130250;74137504;-;4;172,86,100,135;0,4539,5648,7119;62;FAM169A;NM_015566;chr5:74109844-74130250|chr5:74137504-74162575
chr4;187627716;187630999;-;1;3283;0;61;FAT1;NM_005245;chr4:187584767-187627716|chr4:187630999-187644817
chr11;33307958;33309057;+;1;1099;0;58;HIPK3;NM_001278163;chr11:33278298-33307958|chr11:33309057-33350055
chr9;138773478;138774924;-;2;162,263;0,1183;56;CAMSAP1;NM_015447;chr9:138758382-138773478|chr9:138774924-138798845
chr5;74109664;74137504;-;4;180,86,100,135;0,25125,26234,27705;37;FAM169A;NR_046462;chr5:74101109-74109664|chr5:74137504-74161989
chr8;128902834;128903244;+;1;410;0;37;PVT1;uc010mdp.2;chr8:128806980-128902834|chr8:128903244-128951753
chr11;92085261;92088570;+;1;3309;0;35;FAT3;NM_001008781;None|chr11:92088570-92257799
chr5;80388619;80422982;+;8;161,67,137,83,249,383,126,90;0,1495,2055,16195,19809,20737,30841,34273;33;RASGRF2;NM_006909;chr5:80382772-80388619|chr5:80422982-80475993
chr9;103261046;103279053;+;4;110,130,27,97;0,10240,14542,17910;33;MSANTD3-TMEFF1;NM_001198812;chr9:103204638-103261046|chr9:103279053-103310025
chr3;196118683;196129890;-;3;113,66,68;0,1741,11139;30;UBXN7;NM_015562;chr3:196098913-196118683|chr3:196129890-196134116
chr10;32197099;32199491;-;2;755,39;0,2353;29;ARHGAP12;NM_001270695;chr10:32150586-32197099|chr10:32199491-32217610
chr8;30332294;30336893;+;3;78,39,63;0,3020,4536;28;RBPMS;uc011lba.1;chr8:30242674-30332294|chr8:30336893-30361802
chr8;37623043;37623873;+;3;108,36,76;0,185,754;27;PROSC;NM_007198;chr8:37620276-37623043|chr8:37623873-37630272
chr3;170077486;170079217;+;2;178,1062;0,669;25;SKIL;NM_001145098;chr3:170075551-170077486|chr3:170079217-170099031
chr4;144464661;144465125;+;2;149,120;0,344;25;SMARCA5;NM_003601;chr4:144461648-144464661|chr4:144465125-144465889
