Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ZNF780B	ENST00000434248.1	zinc finger protein 780B 	77	1	0	1	0	6	4	1	1	8	hsa-miR-181d-5p	-17.01	-17.97	0.24	2011
ZNF594	ENST00000399604.4	zinc finger protein 594 	29	3	2	1	0	5	2	3	0	4	hsa-miR-181d-5p	-6.48	-6.48	0.45	2009, 2011
ZNF788	ENST00000430298.2	zinc finger family member 788 	16	3	3	0	0	8	8	0	0	7	hsa-miR-181a-5p	-3.71	-3.79	< 0.1	
ZNF781	ENST00000358582.4	zinc finger protein 781 	5	2	2	0	0	8	3	4	1	3	hsa-miR-181d-5p	-3.41	-3.41	< 0.1	2011
ZNF471	ENST00000591537.1	zinc finger protein 471 	30	4	2	2	0	7	0	4	3	3	hsa-miR-181b-5p	-3.15	-3.53	0.11	
ZNF470	ENST00000330619.8	zinc finger protein 470 	12	1	1	0	0	4	0	1	3	1	hsa-miR-181a-5p	-2.98	-2.98	< 0.1	2011
ZFP14	ENST00000270001.7	ZFP14 zinc finger protein 	109	1	1	0	0	4	1	3	0	1	hsa-miR-181a-5p	-2.79	-3.43	0.21	2009, 2011
ZNF699	ENST00000591998.1	zinc finger protein 699 	5	1	1	0	0	3	0	2	1	1	hsa-miR-181d-5p	-2.75	-3.80	< 0.1	2009, 2011
ZNF283	ENST00000324461.7	zinc finger protein 283 	194	1	1	0	0	0	0	0	0	3	hsa-miR-181a-5p	-1.62	-2.79	< 0.1	
ZNF487	ENST00000437590.2	zinc finger protein 487 	20	2	0	2	0	9	3	6	0	1	hsa-miR-181a-5p	-1.48	-1.48	0.68	
