Chromosome;Start;End;Strand;Number of included exons;Exon sizes;Exon offsets (0 base);Junction reads;Gene symbol;Transcript id;Flanking introns
chr1;100327058;100327979;+;2;211,167;0,754;1;AGL;NM_000642;chr1:100316680-100327058|chr1:100327979-100329941
chr1;100335955;100343384;+;7;182,112,124,103,98,140,188;0,358,4287,4754,4958,6058,7241;2;AGL;NM_000642;chr1:100330145-100335955|chr1:100343384-100345478
chr1;100525433;100527505;+;2;128,115;0,1957;1;HIAT1;NM_033055;chr1:100524284-100525433|chr1:100527505-100533532
chr1;100533532;100534142;+;2;219,114;0,496;1;HIAT1;NM_033055;chr1:100527505-100533532|chr1:100534142-100535169
chr1;100568510;100588845;-;12;129,137,82,180,90,195,192,120,66,172,105,80;0,2812,3957,4419,4673,4855,7337,16063,17439,18423,19425,20255;1;SASS6;NM_194292;chr1:100553792-100568510|chr1:100588845-100591437
chr1;100617940;100634150;-;7;140,153,146,137,157,106,191;0,2666,3787,5846,6874,8081,16019;1;LRRC39;NM_001256385;chr1:100614991-100617940|chr1:100634150-100638886
chr1;100889777;100908552;+;3;80,67,63;0,15710,18712;6;CDC14A;uc009web.2;chr1:100856380-100889777|chr1:100908552-100920960
chr1;100905487;100950007;+;7;67,63,88,231,139,133,160;0,3002,15473,22719,28024,41018,44360;1;CDC14A;uc009web.2;chr1:100889857-100905487|chr1:100950007-100960373
chr1;101372407;101387397;+;6;114,88,127,144,51,136;0,4211,5260,6811,11225,14854;10;SLC30A7;NM_001144884;chr1:101362227-101372407|chr1:101387397-101427383
chr1;10155518;10165802;+;4;136,88,145,229;0,5647,7487,10055;3;UBE4B;NM_001105562;chr1:10132272-10155518|chr1:10165802-10166254
chr1;10155518;10182134;+;8;136,88,145,229,387,142,101,115;0,5647,7487,10055,10736,21998,24052,26501;1;UBE4B;NM_001105562;chr1:10132272-10155518|chr1:10182134-10186851
chr1;10177516;10179671;+;2;142,101;0,2054;1;UBE4B;NM_001105562;chr1:10166641-10177516|chr1:10179671-10182019
chr1;10204997;10211619;+;4;100,128,99,236;0,2023,4244,6386;1;UBE4B;NM_001105562;chr1:10197263-10204997|chr1:10211619-10218413
chr1;10209241;10221344;+;4;99,236,127,145;0,2142,9172,11958;1;UBE4B;NM_001105562;chr1:10207148-10209241|chr1:10221344-10228193
chr1;10292307;10332364;+;8;185,77,180,66,179,112,78,66;0,23997,26243,29655,35130,35902,39252,39991;1;KIF1B;uc009vmt.3;chr1:10270936-10292307|chr1:10332364-10333071
chr1;10292307;10338186;+;11;185,77,180,66,179,112,78,66,76,79,143;0,23997,26243,29655,35130,35902,39252,39991,43178,44071,45736;1;KIF1B;NM_183416;chr1:10270936-10292307|chr1:10338186-10342457
chr1;10292307;10342591;+;12;185,77,180,66,179,112,78,66,76,79,143,134;0,23997,26243,29655,35130,35902,39252,39991,43178,44071,45736,50150;1;KIF1B;NM_183416;chr1:10270936-10292307|chr1:10342591-10351139
chr1;10292307;10357304;+;19;185,77,180,66,179,112,78,66,76,79,143,134,80,76,80,107,84,181,73;0,23997,26243,29655,35130,35902,39252,39991,43178,44071,45736,50150,58832,59797,62836,63410,64332,64647,64924;1;KIF1B;NM_183416;chr1:10270936-10292307|chr1:10357304-10363220
chr1;10292307;10412794;+;35;185,77,180,66,179,112,78,66,76,79,143,134,80,76,80,107,84,181,73,94,149,179,138,249,119,86,130,163,91,119,56,109,67,85,106;0,23997,26243,29655,35130,35902,39252,39991,43178,44071,45736,50150,58832,59797,62836,63410,64332,64647,64924,87793,89459,91634,92508,93861,102270,104407,104824,105121,107519,109800,110982,113595,115511,116399,120381;1;KIF1B;NM_015074;chr1:10270936-10292307|chr1:10412794-10420986
chr1;10318550;10342591;+;10;180,66,179,112,78,66,76,79,143,134;0,3412,8887,9659,13009,13748,16935,17828,19493,23907;1;KIF1B;NM_183416;chr1:10316381-10318550|chr1:10342591-10351139
chr1;10321962;10328321;+;3;66,179,112;0,5475,6247;3;KIF1B;uc009vmt.3;chr1:10318730-10321962|chr1:10328321-10331559
chr1;10321962;10332364;+;5;66,179,112,78,66;0,5475,6247,9597,10336;1;KIF1B;uc009vmt.3;chr1:10318730-10321962|chr1:10332364-10333071
chr1;10321962;10408791;+;31;66,179,112,78,66,76,79,143,134,80,76,80,107,84,181,73,94,149,179,138,249,119,86,130,163,91,119,56,109,67,85;0,5475,6247,9597,10336,13523,14416,16081,20495,29177,30142,33181,33755,34677,34992,35269,58138,59804,61979,62853,64206,72615,74752,75169,75466,77864,80145,81327,83940,85856,86744;1;KIF1B;NM_015074;chr1:10318730-10321962|chr1:10408791-10412688
chr1;10327437;10328321;+;2;179,112;0,772;2;KIF1B;uc009vmt.3;chr1:10322028-10327437|chr1:10328321-10331559
chr1;10331559;10335561;+;3;78,66,76;0,739,3926;3;KIF1B;NM_183416;chr1:10328321-10331559|chr1:10335561-10336378
chr1;10335485;10338186;+;3;76,79,143;0,893,2558;1;KIF1B;NM_183416;chr1:10332364-10335485|chr1:10338186-10342457
chr1;10352104;10357304;+;6;76,80,107,84,181,73;0,3039,3613,4535,4850,5127;1;KIF1B;NM_183416;chr1:10351219-10352104|chr1:10357304-10363220
chr1;103540173;103548528;-;3;163,214,168;0,4040,8187;1;COL11A1;NM_001190709;chr1:103496800-103540173|chr1:103548528-103573628
chr1;10380100;10384953;+;4;94,149,179,138;0,1666,3841,4715;2;KIF1B;NM_015074;chr1:10357304-10380100|chr1:10384953-10386168
chr1;104070316;104093695;+;12;48,119,84,112,69,143,126,152,162,95,59,133;0,6044,7079,7635,8431,9647,13655,15601,17246,18553,19282,23246;1;RNPC3;uc010oul.1;chr1:104068884-104070316|chr1:104093695-104094342
chr1;10407818;10408791;+;2;67,85;0,888;7;KIF1B;NM_015074;chr1:10406011-10407818|chr1:10408791-10412688
chr1;104108056;104118162;+;8;160,214,147,198,231,134,123,100;0,6122,6675,7628,8273,8825,9788,10006;7;AMY2B;uc010ouo.2;chr1:104097731-104108056|chr1:104118162-104120111
chr1;10423340;10435431;+;8;62,146,240,72,122,150,193,119;0,1817,2126,5184,7858,11033,11571,11972;2;KIF1B;NM_015074;chr1:10421883-10423340|chr1:10435431-10436602
chr1;10425157;10425706;+;2;146,240;0,309;3;KIF1B;NM_015074;chr1:10423402-10425157|chr1:10425706-10428524
chr1;10463127;10473308;+;5;66,119,70,135,190;0,1090,5000,8347,9991;2;PGD;NM_002631;chr1:10460629-10463127|chr1:10473308-10477043
chr1;10500403;10502498;+;2;67,177;0,1918;6;APITD1-CORT;NM_001270517;chr1:10494747-10500403|chr1:10502498-10511433
chr1;10527246;10529395;-;2;143,162;0,1987;1;DFFA;NM_004401;chr1:10523677-10527246|chr1:10529395-10532379
chr1;108690900;108703915;-;4;108,153,159,112;0,6704,9183,12903;1;SLC25A24;NM_213651;chr1:108686332-108690900|chr1:108703915-108724562
chr1;108697604;108703915;-;3;153,159,112;0,2479,6199;1;SLC25A24;NM_213651;chr1:108691008-108697604|chr1:108703915-108724562
chr1;108697604;108728576;-;5;153,159,112,88,127;0,2479,6199,26958,30845;1;SLC25A24;NM_213651;chr1:108691008-108697604|chr1:108728576-108735117
chr1;108724562;108728576;-;2;88,127;0,3887;1;SLC25A24;NM_213651;chr1:108703915-108724562|chr1:108728576-108735117
chr1;109294878;109302707;+;5;50,82,77,79,101;0,806,4433,6253,7728;2;STXBP3;uc021oqz.1;chr1:109289408-109294878|chr1:109302707-109315286
chr1;109336203;109342927;+;6;66,81,139,107,93,86;0,1245,2652,3038,4563,6638;1;STXBP3;NM_007269;chr1:109325328-109336203|chr1:109342927-109350022
chr1;109427896;109446876;+;9;304,222,136,143,124,116,156,109,130;0,11589,12217,12684,13367,13604,16515,17851,18850;2;GPSM2;NM_013296;chr1:109419850-109427896|chr1:109446876-109456959
chr1;109439485;109446876;+;8;222,136,143,124,116,156,109,130;0,628,1095,1778,2015,4926,6262,7261;2;GPSM2;NM_013296;chr1:109428200-109439485|chr1:109446876-109456959
chr1;109524354;109533951;-;5;132,165,170,158,76;0,876,1549,4790,9521;1;WDR47;uc010ovf.2;chr1:109517376-109524354|chr1:109533951-109538201
chr1;109525230;109529302;-;3;165,170,158;0,673,3914;1;WDR47;uc010ovf.2;chr1:109524486-109525230|chr1:109529302-109533875
chr1;109525230;109547337;-;7;165,170,158,76,258,179,124;0,673,3914,8645,12971,19615,21983;1;WDR47;uc010ovf.2;chr1:109524486-109525230|chr1:109547337-109553537
chr1;109525230;109554340;-;8;165,170,158,76,258,179,124,803;0,673,3914,8645,12971,19615,21983,28307;2;WDR47;uc010ovf.2;chr1:109524486-109525230|chr1:109554340-109556462
chr1;109533875;109554340;-;5;76,258,179,124,803;0,4326,10970,13338,19662;1;WDR47;uc010ovf.2;chr1:109529302-109533875|chr1:109554340-109556462
chr1;109544845;109547337;-;2;179,124;0,2368;2;WDR47;uc010ovf.2;chr1:109538459-109544845|chr1:109547337-109553537
chr1;109547213;109554340;-;2;124,803;0,6324;1;WDR47;uc010ovf.2;chr1:109545024-109547213|chr1:109554340-109556462
chr1;109773499;109774408;+;2;144,156;0,753;1;SARS;NM_006513;chr1:109772194-109773499|chr1:109774408-109777831
chr1;109859471;109860591;-;2;109,117;0,1003;1;SORT1;NM_001205228;chr1:109857400-109859471|chr1:109860591-109865553
chr1;109869613;109888503;-;6;169,103,107,156,145,131;0,507,9248,13732,15022,18759;1;SORT1;NM_002959;chr1:109867711-109869613|chr1:109888503-109890104
chr1;109878861;109888500;-;4;107,156,145,128;0,4484,5774,9511;1;SORT1;NM_001205228;chr1:109870223-109878861|chr1:109888500-109890104
chr1;109910029;109912211;-;2;74,60;0,2122;1;SORT1;NM_001205228;chr1:109898091-109910029|chr1:109912211-109935648
chr1;109952549;109953735;-;2;87,103;0,1083;2;PSMA5;NM_001199772;chr1:109944712-109952549|chr1:109953735-109954498
chr1;11130956;11137005;-;5;74,85,75,96,107;0,1187,3034,3331,5942;4;EXOSC10;NM_001001998;chr1:11129787-11130956|chr1:11137005-11137421
chr1;11133990;11134383;-;2;75,96;0,297;3;EXOSC10;NM_001001998;chr1:11132228-11133990|chr1:11134383-11136898
chr1;11181302;11193254;-;12;123,148,136,175,135,183,123,99,97,101,249,118;0,733,3252,5376,5764,6378,6758,7208,7609,8492,9283,11834;1;MTOR;NM_004958;chr1:11177143-11181302|chr1:11193254-11194407
chr1;11184554;11193254;-;10;136,175,135,183,123,99,97,101,249,118;0,2124,2512,3126,3506,3956,4357,5240,6031,8582;1;MTOR;NM_004958;chr1:11182183-11184554|chr1:11193254-11194407
chr1;111996832;111996978;+;1;146;0;1;ATP5F1;uc009wgf.1;chr1:111992495-111996832|chr1:111996978-111998707
chr1;111998707;111999377;+;2;164,126;0,544;1;ATP5F1;uc009wgf.1;chr1:111996978-111998707|chr1:111999377-112002078
chr1;111998707;112002258;+;3;164,126,180;0,544,3371;1;ATP5F1;NM_001688;chr1:111996978-111998707|chr1:112002258-112003538
chr1;11204704;11206848;-;3;108,78,116;0,320,2028;1;MTOR;NM_004958;chr1:11199715-11204704|chr1:11206848-11210182
chr1;112319647;112323413;-;4;248,57,90,102;0,1410,3199,3664;1;KCND3;NM_004980;chr1:112318900-112319647|chr1:112323413-112329565
chr1;11307681;11308151;-;2;109,276;0,194;1;MTOR;NM_004958;chr1:11303357-11307681|chr1:11308151-11313895
chr1;113084572;113126748;-;8;140,93,151,103,73,115,98,155;0,8650,13917,35035,36394,40041,40424,42021;1;ST7L;uc001ecc.3;chr1:113068733-113084572|chr1:113126748-113134146
chr1;113098489;113159517;-;10;151,103,73,115,98,155,79,116,163,83;0,21118,22477,26124,26507,28104,35657,42103,54973,60945;1;ST7L;uc001ecc.3;chr1:113093315-113098489|chr1:113159517-113161405
chr1;113119607;113134225;-;3;103,73,79;0,1359,14539;1;ST7L;uc009wgh.3;chr1:113093315-113119607|chr1:113134225-113140592
chr1;113119607;113159517;-;9;103,73,115,98,155,79,116,163,83;0,1359,5006,5389,6986,14539,20985,33855,39827;1;ST7L;uc001ecc.3;chr1:113098640-113119607|chr1:113159517-113161405
chr1;113124613;113140708;-;5;115,98,155,79,116;0,383,1980,9533,15979;2;ST7L;uc001ecc.3;chr1:113121039-113124613|chr1:113140708-113153462
chr1;113140592;113159517;-;3;116,163,83;0,12870,18842;2;ST7L;uc001ecc.3;chr1:113134225-113140592|chr1:113159517-113161405
chr1;113153462;113159517;-;2;163,83;0,5972;1;ST7L;uc001ecc.3;chr1:113140708-113153462|chr1:113159517-113161405
chr1;113196219;113202401;+;4;64,207,80,79;0,867,5424,6103;5;CAPZA1;NM_006135;chr1:113192091-113196219|chr1:113202401-113209695
chr1;113196219;113209767;+;5;64,207,80,79,72;0,867,5424,6103,13476;3;CAPZA1;NM_006135;chr1:113192091-113196219|chr1:113209767-113212164
chr1;113635827;113641407;+;7;75,135,144,144,144,144,81;0,224,1133,1406,2668,3016,5499;3;LRIG2;NM_014813;chr1:113634005-113635827|chr1:113641407-113642832
chr1;113635827;113662145;+;15;75,135,144,144,144,144,81,72,69,164,321,282,450,150,291;0,224,1133,1406,2668,3016,5499,7005,7214,14388,17036,19273,21221,23081,26027;1;LRIG2;NM_014813;chr1:113634005-113635827|chr1:113662145-113666496
chr1;114267380;114269196;-;2;135,157;0,1659;3;PHTF1;NM_006608;chr1:114256060-114267380|chr1:114269196-114280731
chr1;114397092;114397671;-;2;67,143;0,436;1;PTPN22;NM_001193431;chr1:114394726-114397092|chr1:114397671-114399003
chr1;114483003;114484081;+;1;1078;0;2;HIPK1;NM_152696;chr1:114472154-114483003|chr1:114484081-114495387
chr1;114948031;114952938;-;4;350,160,64,133;0,1531,3267,4774;1;TRIM33;uc010owr.2;chr1:114945505-114948031|chr1:114952938-114963001
chr1;114964057;114970516;-;5;201,165,275,118,147;0,3155,4013,5741,6312;2;TRIM33;uc010ows.2;chr1:114963073-114964057|chr1:114970516-114973419
chr1;115005725;115007010;-;3;133,145,119;0,308,1166;15;TRIM33;NM_015906;chr1:114976355-115005725|chr1:115007010-115053171
chr1;115262199;115263338;-;2;164,179;0,960;3;CSDE1;NM_001007553;chr1:115261366-115262199|chr1:115263338-115266503
